contrast,ori,lefttarget,righttarget,postcue,precue
12.1,45,0,0,-1,0
15.7,45,0,0,-1,0
19.6,45,0,0,-1,0
22.7,45,0,0,-1,0
25.5,45,0,0,-1,0
29.4,45,0,0,-1,0
35.3,45,0,0,-1,0
39.2,45,0,0,-1,0
42.7,45,0,0,-1,0
12.1,315,0,0,-1,0
15.7,315,0,0,-1,0
19.6,315,0,0,-1,0
22.7,315,0,0,-1,0
25.5,315,0,0,-1,0
29.4,315,0,0,-1,0
35.3,315,0,0,-1,0
39.2,315,0,0,-1,0
42.7,315,0,0,-1,0
12.1,45,1,0,-1,0
15.7,45,1,0,-1,0
19.6,45,1,0,-1,0
22.7,45,1,0,-1,0
25.5,45,1,0,-1,0
29.4,45,1,0,-1,0
35.3,45,1,0,-1,0
39.2,45,1,0,-1,0
42.7,45,1,0,-1,0
12.1,315,1,0,-1,0
15.7,315,1,0,-1,0
19.6,315,1,0,-1,0
22.7,315,1,0,-1,0
25.5,315,1,0,-1,0
29.4,315,1,0,-1,0
35.3,315,1,0,-1,0
39.2,315,1,0,-1,0
42.7,315,1,0,-1,0
12.1,45,0,1,-1,0
15.7,45,0,1,-1,0
19.6,45,0,1,-1,0
22.7,45,0,1,-1,0
25.5,45,0,1,-1,0
29.4,45,0,1,-1,0
35.3,45,0,1,-1,0
39.2,45,0,1,-1,0
42.7,45,0,1,-1,0
12.1,315,0,1,-1,0
15.7,315,0,1,-1,0
19.6,315,0,1,-1,0
22.7,315,0,1,-1,0
25.5,315,0,1,-1,0
29.4,315,0,1,-1,0
35.3,315,0,1,-1,0
39.2,315,0,1,-1,0
42.7,315,0,1,-1,0
12.1,45,1,1,-1,0
15.7,45,1,1,-1,0
19.6,45,1,1,-1,0
22.7,45,1,1,-1,0
25.5,45,1,1,-1,0
29.4,45,1,1,-1,0
35.3,45,1,1,-1,0
39.2,45,1,1,-1,0
42.7,45,1,1,-1,0
12.1,315,1,1,-1,0
15.7,315,1,1,-1,0
19.6,315,1,1,-1,0
22.7,315,1,1,-1,0
25.5,315,1,1,-1,0
29.4,315,1,1,-1,0
35.3,315,1,1,-1,0
39.2,315,1,1,-1,0
42.7,315,1,1,-1,0
12.1,45,0,0,1,0
15.7,45,0,0,1,0
19.6,45,0,0,1,0
22.7,45,0,0,1,0
25.5,45,0,0,1,0
29.4,45,0,0,1,0
35.3,45,0,0,1,0
39.2,45,0,0,1,0
42.7,45,0,0,1,0
12.1,315,0,0,1,0
15.7,315,0,0,1,0
19.6,315,0,0,1,0
22.7,315,0,0,1,0
25.5,315,0,0,1,0
29.4,315,0,0,1,0
35.3,315,0,0,1,0
39.2,315,0,0,1,0
42.7,315,0,0,1,0
12.1,45,1,0,1,0
15.7,45,1,0,1,0
19.6,45,1,0,1,0
22.7,45,1,0,1,0
25.5,45,1,0,1,0
29.4,45,1,0,1,0
35.3,45,1,0,1,0
39.2,45,1,0,1,0
42.7,45,1,0,1,0
12.1,315,1,0,1,0
15.7,315,1,0,1,0
19.6,315,1,0,1,0
22.7,315,1,0,1,0
25.5,315,1,0,1,0
29.4,315,1,0,1,0
35.3,315,1,0,1,0
39.2,315,1,0,1,0
42.7,315,1,0,1,0
12.1,45,0,1,1,0
15.7,45,0,1,1,0
19.6,45,0,1,1,0
22.7,45,0,1,1,0
25.5,45,0,1,1,0
29.4,45,0,1,1,0
35.3,45,0,1,1,0
39.2,45,0,1,1,0
42.7,45,0,1,1,0
12.1,315,0,1,1,0
15.7,315,0,1,1,0
19.6,315,0,1,1,0
22.7,315,0,1,1,0
25.5,315,0,1,1,0
29.4,315,0,1,1,0
35.3,315,0,1,1,0
39.2,315,0,1,1,0
42.7,315,0,1,1,0
12.1,45,1,1,1,0
15.7,45,1,1,1,0
19.6,45,1,1,1,0
22.7,45,1,1,1,0
25.5,45,1,1,1,0
29.4,45,1,1,1,0
35.3,45,1,1,1,0
39.2,45,1,1,1,0
42.7,45,1,1,1,0
12.1,315,1,1,1,0
15.7,315,1,1,1,0
19.6,315,1,1,1,0
22.7,315,1,1,1,0
25.5,315,1,1,1,0
29.4,315,1,1,1,0
35.3,315,1,1,1,0
39.2,315,1,1,1,0
42.7,315,1,1,1,0
12.1,45,0,0,-1,-1
15.7,45,0,0,-1,-1
19.6,45,0,0,-1,-1
22.7,45,0,0,-1,-1
25.5,45,0,0,-1,-1
29.4,45,0,0,-1,-1
35.3,45,0,0,-1,-1
39.2,45,0,0,-1,-1
42.7,45,0,0,-1,-1
12.1,315,0,0,-1,-1
15.7,315,0,0,-1,-1
19.6,315,0,0,-1,-1
22.7,315,0,0,-1,-1
25.5,315,0,0,-1,-1
29.4,315,0,0,-1,-1
35.3,315,0,0,-1,-1
39.2,315,0,0,-1,-1
42.7,315,0,0,-1,-1
12.1,45,1,0,-1,-1
15.7,45,1,0,-1,-1
19.6,45,1,0,-1,-1
22.7,45,1,0,-1,-1
25.5,45,1,0,-1,-1
29.4,45,1,0,-1,-1
35.3,45,1,0,-1,-1
39.2,45,1,0,-1,-1
42.7,45,1,0,-1,-1
12.1,315,1,0,-1,-1
15.7,315,1,0,-1,-1
19.6,315,1,0,-1,-1
22.7,315,1,0,-1,-1
25.5,315,1,0,-1,-1
29.4,315,1,0,-1,-1
35.3,315,1,0,-1,-1
39.2,315,1,0,-1,-1
42.7,315,1,0,-1,-1
12.1,45,0,1,-1,-1
15.7,45,0,1,-1,-1
19.6,45,0,1,-1,-1
22.7,45,0,1,-1,-1
25.5,45,0,1,-1,-1
29.4,45,0,1,-1,-1
35.3,45,0,1,-1,-1
39.2,45,0,1,-1,-1
42.7,45,0,1,-1,-1
12.1,315,0,1,-1,-1
15.7,315,0,1,-1,-1
19.6,315,0,1,-1,-1
22.7,315,0,1,-1,-1
25.5,315,0,1,-1,-1
29.4,315,0,1,-1,-1
35.3,315,0,1,-1,-1
39.2,315,0,1,-1,-1
42.7,315,0,1,-1,-1
12.1,45,1,1,-1,-1
15.7,45,1,1,-1,-1
19.6,45,1,1,-1,-1
22.7,45,1,1,-1,-1
25.5,45,1,1,-1,-1
29.4,45,1,1,-1,-1
35.3,45,1,1,-1,-1
39.2,45,1,1,-1,-1
42.7,45,1,1,-1,-1
12.1,315,1,1,-1,-1
15.7,315,1,1,-1,-1
19.6,315,1,1,-1,-1
22.7,315,1,1,-1,-1
25.5,315,1,1,-1,-1
29.4,315,1,1,-1,-1
35.3,315,1,1,-1,-1
39.2,315,1,1,-1,-1
42.7,315,1,1,-1,-1
12.1,45,0,0,1,-1
15.7,45,0,0,1,-1
19.6,45,0,0,1,-1
22.7,45,0,0,1,-1
25.5,45,0,0,1,-1
29.4,45,0,0,1,-1
35.3,45,0,0,1,-1
39.2,45,0,0,1,-1
42.7,45,0,0,1,-1
12.1,315,0,0,1,-1
15.7,315,0,0,1,-1
19.6,315,0,0,1,-1
22.7,315,0,0,1,-1
25.5,315,0,0,1,-1
29.4,315,0,0,1,-1
35.3,315,0,0,1,-1
39.2,315,0,0,1,-1
42.7,315,0,0,1,-1
12.1,45,1,0,1,-1
15.7,45,1,0,1,-1
19.6,45,1,0,1,-1
22.7,45,1,0,1,-1
25.5,45,1,0,1,-1
29.4,45,1,0,1,-1
35.3,45,1,0,1,-1
39.2,45,1,0,1,-1
42.7,45,1,0,1,-1
12.1,315,1,0,1,-1
15.7,315,1,0,1,-1
19.6,315,1,0,1,-1
22.7,315,1,0,1,-1
25.5,315,1,0,1,-1
29.4,315,1,0,1,-1
35.3,315,1,0,1,-1
39.2,315,1,0,1,-1
42.7,315,1,0,1,-1
12.1,45,0,1,1,-1
15.7,45,0,1,1,-1
19.6,45,0,1,1,-1
22.7,45,0,1,1,-1
25.5,45,0,1,1,-1
29.4,45,0,1,1,-1
35.3,45,0,1,1,-1
39.2,45,0,1,1,-1
42.7,45,0,1,1,-1
12.1,315,0,1,1,-1
15.7,315,0,1,1,-1
19.6,315,0,1,1,-1
22.7,315,0,1,1,-1
25.5,315,0,1,1,-1
29.4,315,0,1,1,-1
35.3,315,0,1,1,-1
39.2,315,0,1,1,-1
42.7,315,0,1,1,-1
12.1,45,1,1,1,-1
15.7,45,1,1,1,-1
19.6,45,1,1,1,-1
22.7,45,1,1,1,-1
25.5,45,1,1,1,-1
29.4,45,1,1,1,-1
35.3,45,1,1,1,-1
39.2,45,1,1,1,-1
42.7,45,1,1,1,-1
12.1,315,1,1,1,-1
15.7,315,1,1,1,-1
19.6,315,1,1,1,-1
22.7,315,1,1,1,-1
25.5,315,1,1,1,-1
29.4,315,1,1,1,-1
35.3,315,1,1,1,-1
39.2,315,1,1,1,-1
42.7,315,1,1,1,-1
12.1,45,0,0,-1,1
15.7,45,0,0,-1,1
19.6,45,0,0,-1,1
22.7,45,0,0,-1,1
25.5,45,0,0,-1,1
29.4,45,0,0,-1,1
35.3,45,0,0,-1,1
39.2,45,0,0,-1,1
42.7,45,0,0,-1,1
12.1,315,0,0,-1,1
15.7,315,0,0,-1,1
19.6,315,0,0,-1,1
22.7,315,0,0,-1,1
25.5,315,0,0,-1,1
29.4,315,0,0,-1,1
35.3,315,0,0,-1,1
39.2,315,0,0,-1,1
42.7,315,0,0,-1,1
12.1,45,1,0,-1,1
15.7,45,1,0,-1,1
19.6,45,1,0,-1,1
22.7,45,1,0,-1,1
25.5,45,1,0,-1,1
29.4,45,1,0,-1,1
35.3,45,1,0,-1,1
39.2,45,1,0,-1,1
42.7,45,1,0,-1,1
12.1,315,1,0,-1,1
15.7,315,1,0,-1,1
19.6,315,1,0,-1,1
22.7,315,1,0,-1,1
25.5,315,1,0,-1,1
29.4,315,1,0,-1,1
35.3,315,1,0,-1,1
39.2,315,1,0,-1,1
42.7,315,1,0,-1,1
12.1,45,0,1,-1,1
15.7,45,0,1,-1,1
19.6,45,0,1,-1,1
22.7,45,0,1,-1,1
25.5,45,0,1,-1,1
29.4,45,0,1,-1,1
35.3,45,0,1,-1,1
39.2,45,0,1,-1,1
42.7,45,0,1,-1,1
12.1,315,0,1,-1,1
15.7,315,0,1,-1,1
19.6,315,0,1,-1,1
22.7,315,0,1,-1,1
25.5,315,0,1,-1,1
29.4,315,0,1,-1,1
35.3,315,0,1,-1,1
39.2,315,0,1,-1,1
42.7,315,0,1,-1,1
12.1,45,1,1,-1,1
15.7,45,1,1,-1,1
19.6,45,1,1,-1,1
22.7,45,1,1,-1,1
25.5,45,1,1,-1,1
29.4,45,1,1,-1,1
35.3,45,1,1,-1,1
39.2,45,1,1,-1,1
42.7,45,1,1,-1,1
12.1,315,1,1,-1,1
15.7,315,1,1,-1,1
19.6,315,1,1,-1,1
22.7,315,1,1,-1,1
25.5,315,1,1,-1,1
29.4,315,1,1,-1,1
35.3,315,1,1,-1,1
39.2,315,1,1,-1,1
42.7,315,1,1,-1,1
12.1,45,0,0,1,1
15.7,45,0,0,1,1
19.6,45,0,0,1,1
22.7,45,0,0,1,1
25.5,45,0,0,1,1
29.4,45,0,0,1,1
35.3,45,0,0,1,1
39.2,45,0,0,1,1
42.7,45,0,0,1,1
12.1,315,0,0,1,1
15.7,315,0,0,1,1
19.6,315,0,0,1,1
22.7,315,0,0,1,1
25.5,315,0,0,1,1
29.4,315,0,0,1,1
35.3,315,0,0,1,1
39.2,315,0,0,1,1
42.7,315,0,0,1,1
12.1,45,1,0,1,1
15.7,45,1,0,1,1
19.6,45,1,0,1,1
22.7,45,1,0,1,1
25.5,45,1,0,1,1
29.4,45,1,0,1,1
35.3,45,1,0,1,1
39.2,45,1,0,1,1
42.7,45,1,0,1,1
12.1,315,1,0,1,1
15.7,315,1,0,1,1
19.6,315,1,0,1,1
22.7,315,1,0,1,1
25.5,315,1,0,1,1
29.4,315,1,0,1,1
35.3,315,1,0,1,1
39.2,315,1,0,1,1
42.7,315,1,0,1,1
12.1,45,0,1,1,1
15.7,45,0,1,1,1
19.6,45,0,1,1,1
22.7,45,0,1,1,1
25.5,45,0,1,1,1
29.4,45,0,1,1,1
35.3,45,0,1,1,1
39.2,45,0,1,1,1
42.7,45,0,1,1,1
12.1,315,0,1,1,1
15.7,315,0,1,1,1
19.6,315,0,1,1,1
22.7,315,0,1,1,1
25.5,315,0,1,1,1
29.4,315,0,1,1,1
35.3,315,0,1,1,1
39.2,315,0,1,1,1
42.7,315,0,1,1,1
12.1,45,1,1,1,1
15.7,45,1,1,1,1
19.6,45,1,1,1,1
22.7,45,1,1,1,1
25.5,45,1,1,1,1
29.4,45,1,1,1,1
35.3,45,1,1,1,1
39.2,45,1,1,1,1
42.7,45,1,1,1,1
12.1,315,1,1,1,1
15.7,315,1,1,1,1
19.6,315,1,1,1,1
22.7,315,1,1,1,1
25.5,315,1,1,1,1
29.4,315,1,1,1,1
35.3,315,1,1,1,1
39.2,315,1,1,1,1
42.7,315,1,1,1,1